,TCGA-A2-A3XY,TCGA-A7-A26G,TCGA-A8-A09X,TCGA-AC-A2QJ,TCGA-AO-A03U,TCGA-AR-A1AR,TCGA-BH-A0BL,TCGA-BH-A0RX,TCGA-C8-A26X,TCGA-D8-A27M
ACY1,1.753591405,0.88232885,1.732178887,1.580195632,1.002432892,0.507247571,0.635597099,0.652669337,1.454942643,0.68415458
ACY3,0.833215324,0.157381915,2.503187929,2.244359819,0.992434459,0.248977993,1.09258842,3.853524862,1.476517325,2.636429144
ACYP1,2.727873982,0.93228529,2.379836007,1.87651376,1.414939793,3.008352596,1.944225781,1.433347275,3.659613555,3.761514676
ACYP2,2.501942488,2.333286586,1.933685884,1.720025316,2.262404788,1.963357214,1.834113477,1.594757655,3.928654479,1.921355072
ADA,5.735791933,3.41552111,3.690734629,19.78267064,1.05984285,3.854431786,4.601743372,8.71752157,7.288880583,1.930661675
ADA2,12.23034069,25.55300412,25.60185966,6.092105108,10.2238675,25.85237391,11.12537577,18.39050584,34.16661091,21.95863056
ADAD1,0.013681581,0.02105682,0.006735671,0,0,0,0,0.007638223,0,0
ADAD2,0.0209589,0.008294676,0,0.082728349,0.017933277,0.005832075,0.124381265,0.02005893,0.01400734,0.010250461
ADAL,1.035425495,0.85477139,1.968023478,0.525912343,1.141054159,1.033578146,1.222139827,0.659784613,1.23869423,0.798378512
ADAM10,5.4898076,8.376515941,6.255132831,1.677276125,16.09248107,16.7442571,8.038309779,6.376697247,11.58711765,7.01111134
ADAM11,1.465709443,0.033360713,0.015244928,0.187628954,0.028335455,0.052776607,0.119108172,0.155589171,0.044264566,0.076563997
ADAM12,13.30131162,41.85074918,10.20895726,5.985359837,10.71710349,22.61152627,26.40495887,6.554746106,7.995206543,15.07653398
ADAM15,42.87350386,15.96381582,83.50621982,31.22134401,14.30841505,41.84997814,29.01349962,55.69396363,126.9114184,34.23526234
ADAM17,9.157112425,7.137423831,3.436605549,0.629149851,8.72036876,12.62095085,8.481836926,6.911902269,5.054739151,8.984061026
ADAM18,0,0,0,0,0,0,0,0,0,0.0036723
ADAM19,7.726591413,6.150937217,3.398051801,3.673362843,2.748051654,5.299915179,10.05723102,4.262797925,5.331868119,7.449921866
ADAM2,0,0.003912727,0,0,0,0.565346854,0,0.02128974,0.317158971,0
ADAM20,0.013211659,0.020333581,0.013008642,0.006404223,0.008792332,0.072913452,0.010163613,0.014751746,0.020602567,0.010051198
ADAM20P1,0.056797653,0.044956381,0.023967801,0.017699211,0.032398902,0.086925591,0.065540901,0.033974234,0.012653082,0.074075405
ADAM21,0.041677865,0.389145568,0.246224521,0,0.06009582,0.532191067,0.0748123,0.023268132,0.51994741,0.031707785
