,TCGA-AC-A6IW,TCGA-AO-A128,TCGA-B6-A3ZX,TCGA-C8-A12V,TCGA-E2-A1LH,TCGA-EW-A1OV,TCGA-EW-A1PB,TCGA-EW-A6SB,TCGA-LL-A5YO,TCGA-S3-AA10
MAP3K3,5.171850655,7.734675341,12.56172134,6.150430444,5.132137294,6.811723168,4.683719446,2.743074748,7.02519328,8.111608721
MAP3K4,4.745568573,3.107264909,4.635362436,4.177802498,2.856703421,8.806248064,2.333439534,4.262465608,3.120997876,5.234435682
MAP3K5,4.064544912,6.197935464,6.873716527,5.570872029,2.292313451,3.811486699,6.81925937,3.887530814,4.406991967,3.660518587
MAP3K5-AS1,0.140863848,0.052445172,0.098027382,0.040095731,0.243147079,0,0.11974745,0.228379987,0.36686801,0.080669611
MAP3K6,4.425361116,17.33736132,5.965922862,4.703210659,12.1772438,6.69208928,11.22789557,8.537495224,9.071771411,15.61313794
MAP3K7,6.059425941,6.85299551,8.242646528,6.009782562,6.074050896,7.398256339,3.951587147,7.835610842,6.570033234,5.605935173
MAP3K7CL,0.534668672,1.578369943,0.671499558,1.022097879,1.672413408,0.669295973,1.976751602,0.455223728,0.800422343,1.164076652
MAP3K8,1.967556183,4.993942624,5.150634339,2.98017842,12.9915895,1.787181316,5.134533558,4.852202671,3.836635704,3.48440745
MAP3K9,1.783862193,1.788676351,1.45082267,1.479472922,0.773257182,0.758640698,0.6212757,0.684393198,1.653914548,0.631497291
MAP4,26.10684841,40.87668311,18.98710198,19.02632086,13.71446404,15.3529594,17.71527304,17.00827983,11.559727,21.2674711
MAP4K1,5.582206582,10.99793043,17.54069362,12.01685196,6.950189802,10.51106834,4.738513835,8.811088222,16.21625283,8.033238181
MAP4K2,2.661680322,1.568521357,9.543946286,3.205745192,5.775061014,4.258036529,6.079660543,5.281081918,4.584736705,5.325945005
MAP4K3,3.944327046,6.039514997,6.494980576,7.602724307,2.312291853,4.614110786,4.163898321,3.512043393,4.606733677,2.994761231
MAP4K3-DT,0.299698755,0.424322757,0.800462433,0.468586517,0.418951688,0.268623115,0.735609243,0.893946213,0.616422536,0.277993629
MAP4K4,11.46529968,14.19343243,18.17885747,17.28921834,7.676254528,14.4312501,15.89165346,9.524210141,8.85328089,9.504206747
MAP4K5,3.144184605,4.803413421,5.039169201,7.278243452,8.830514792,3.792546502,4.9302516,3.170870292,5.439261878,6.169531359
MAP6,0.148177469,0.60314394,3.398754972,1.205520889,0.55830659,0.410814905,0.190357121,0.035856332,0.460794889,0.259640026
MAP6D1,1.997014135,0.604927186,2.514937002,0.714746374,0.586410574,1.575111143,1.406336332,0.550796002,2.846731218,0.812056213
MAP7,5.895153323,4.718837911,9.984983621,5.35296784,4.722664424,8.854524365,5.648130197,6.780803891,8.454638743,5.100683051
MAP7D1,28.80268831,29.33880053,29.84379897,20.49419787,18.97980684,27.43196778,32.50208416,23.83328868,36.13779658,39.11125498
MAP7D2,0.006502399,5.531791184,0.644816773,0.023135677,0.484029935,0.050327016,0.051821694,0.230611075,3.030146283,4.193907239
MAP7D3,3.442563344,0.732670264,3.226936956,1.401081134,3.201347662,1.142654244,3.367187478,2.721323502,1.415663031,3.196449134
MAP9,1.119610736,2.067770977,3.711250067,0.354351741,0.280736459,1.193529315,0.879059447,0.921274861,1.673418496,1.257975041
MAPK1,8.612154206,11.66537285,9.95666267,16.03291625,12.68403679,12.28902237,7.591065086,6.552023572,10.92203497,8.92315056
MAPK10,0.05072878,0.022934077,2.170247285,0.129955755,0.222036434,2.951570364,0.133993078,0.020561411,1.089306256,0.049802143
MAPK10-AS1,0,0,0,0,0,0.022245558,0,0,0.096243296,0
MAPK11,5.816869881,6.483261285,7.207030527,4.48958825,6.623677411,5.644148262,6.917887705,3.30377819,6.754575085,3.546401742
MAPK12,3.707780415,0.796736441,1.56012701,1.125862948,1.977214822,0.521911382,0.835795651,0.838310132,0.865005007,1.70750961
MAPK13,9.344477457,4.43621522,9.604535956,10.9442906,8.615893274,17.25862129,12.79483701,16.18925178,10.90743984,14.49637498
MAPK14,8.212814076,11.09196283,8.856807337,13.61302682,4.765691615,11.57871563,7.144742081,9.898200016,11.70176782,10.79620449
MAPK15,21.14068587,3.869590505,4.098320846,2.57742341,1.567009727,4.532095676,2.033228239,7.63281263,1.082579616,7.405119169
MAPK1IP1L,8.76071134,11.93105157,12.38304114,15.94832386,16.38537478,13.04395732,7.122042996,9.048470297,12.92287991,11.44084515
MAPK3,15.48362054,11.04075226,20.21619944,11.97019865,14.43250882,25.15706435,17.84176626,16.0392746,19.00798542,13.55717777
MAPK4,0.366864982,0,3.551649465,0.285037869,0.0767332,0.041851267,0.445527942,0.394504568,0.156691329,0.152747977
MAPK6,6.5056032,9.436354453,4.603205053,8.231833157,5.430176925,7.841315413,11.3291201,6.079839548,7.316931246,7.43592467
MAPK6-DT,0.049343059,0.06123656,0.095383098,0.023408491,0.212929379,0.028289149,0.052432771,0,0,0.023548066
MAPK7,3.228238285,3.751505326,5.843407985,3.585157193,3.60380378,4.370335944,3.444928567,2.574768978,3.392409488,3.453648296
MAPK8,2.560579694,4.26331485,3.163501459,2.807304982,2.27623695,4.495547953,3.90003106,3.482474602,3.317640055,4.446546802
MAPK8IP1,5.214217478,2.358495985,13.01515739,3.913059109,1.456762411,0.50367301,1.560217187,0.296737289,2.148828311,0.84434423
MAPK8IP2,25.90125945,6.023151633,9.25313038,6.227884248,4.66624215,0.402237084,1.493621653,0.136811261,1.07195232,2.609561424
MAPK8IP3,5.762831092,2.266080176,10.42540512,3.236585131,10.90299518,5.115288729,8.541698549,3.529481126,4.050453161,5.250211206
MAPK9,2.456206184,5.2762596,4.962360284,4.55163787,6.225162576,5.987048492,7.21719085,5.080785244,9.265633918,3.930515297
MAPKAP1,12.71609153,16.98862592,18.1878773,10.90965533,12.01298426,12.35666329,11.88861158,13.06273557,13.86361767,12.00207277
MAPKAPK2,76.47782039,58.02667643,50.77436733,68.16862142,58.55540994,43.97620682,48.45004665,109.4209618,79.69094051,49.1819732
MAPKAPK3,28.65406335,12.55343617,16.89266054,14.95516581,11.42244021,8.861913169,21.56481009,14.13337788,18.73811077,15.61577263
MAPKAPK5,3.32165522,2.503633526,2.391660027,2.129502441,1.819132841,3.316027125,2.590566712,2.682376425,2.513278994,2.052032499
MAPKAPK5-AS1,8.766221752,4.325467122,6.319484313,5.747346642,5.227927649,6.689210136,6.971497835,8.775800169,9.662154496,4.838767558
MAPKBP1,1.807768581,1.32973856,2.971408689,2.144678355,1.404898049,2.166563128,3.094564546,1.063454263,1.640605768,2.39346976
MAPRE1,65.85323125,69.07457083,60.74583352,103.333716,35.74136923,62.67259787,60.36871615,49.74045145,78.22015205,71.81594397
MAPRE2,5.895790248,7.034760355,13.09154634,11.80498133,9.889702532,6.679786716,5.883344328,6.676372943,8.299816296,7.201688111
MAPRE3,4.392801831,8.912495298,12.84227669,7.01286976,3.514350456,3.805990518,4.890769391,1.800497899,1.58388252,3.745224852
MAPRE3-AS1,0.016653042,0.00516676,0.038629597,0.047401508,0.047908418,0.00954745,0.011797203,0,0.010326534,0.007947357
MAPT,1.011736648,0.235203592,1.458792432,0.563207969,0.084355903,0.821684115,0.24723996,0.108220275,0.400906224,0.136521962
MAPT-IT1,0.004717258,0,0.010942491,0.006713642,0,0,0,0,0.026326498,0
MARCHF1,3.740779315,6.921733581,2.718807306,4.614702789,1.29611556,2.528961953,3.594922789,0.984985941,2.50166998,2.181353955
MARCHF10,0.005783434,0.010766184,0.026831343,0.012346551,0.006239292,0,0.003072788,0.017581081,0.091450693,0.016560225
MARCHF10-DT,0,0,0.009111693,0,0,0,0,0,0,0
MARCHF11,0.030579793,0,0.017733773,0,0,0.210382493,0,0,1.379521723,0
MARCHF2,16.26888449,12.28627563,11.10261848,16.71219394,25.17013907,16.61891751,22.13821526,8.405280121,19.3843814,9.669796325
MARCHF3,0.425801031,0.539514901,4.269494087,1.329298527,4.925559353,0.798503422,0.160551527,2.850450343,1.062969018,1.262497318
MARCHF4,0.057587244,0.026800462,0,0.050085853,0.041417565,0.027513058,0.016998106,0.032418454,0.011903264,0.087027762
MARCHF5,8.041221266,10.80662668,6.918281098,9.123120596,7.104388106,19.22425388,9.008203578,12.01996361,12.15923509,14.74031628
MARCHF6,5.665296428,11.55322827,20.01958797,15.48455336,11.41130039,18.74113688,4.771755249,7.335417695,11.43101394,6.324907364
MARCHF7,8.663507473,12.25680711,10.52586166,14.02700189,8.640943734,14.37930508,10.61730254,10.6656323,9.159031241,9.721310287
